"","X","UniqueID","Site","Year","Latitude_Degrees","Longitude_Degrees","A","AN","ASC","CCA","DC","DCA","HC","HYD","INV","MA","MI","MIL","OT","PEY","RB","RCK","S","SC","SG","SI","SP","TA","UN","W","ZO","percent_total","avg_ssta","sum_ssta"
"1",1,"2012-B3-Crest-1","B3",2012,-5.477778,123.7625,0,0,0.497512437810945,0.995024875621891,0.995024875621891,15.9203980099502,22.8855721393035,0,0,0,0,0,0,0,2.48756218905473,29.8507462686567,0.497512437810945,2.98507462686567,0,0,8.95522388059701,0,0,13.9303482587065,0,100,0.332830188679245,17.64
"2",2,"2012-B3-Crest-2","B3",2012,-5.477778,123.7625,0,0,0,0,7.96019900497512,6.46766169154229,26.865671641791,0,0,0,0,0,0,0,7.46268656716418,22.3880597014925,0,17.910447761194,0,0,0.497512437810945,0,0,10.4477611940298,0,100,0.332830188679245,17.64
"3",3,"2012-B3-Crest-3","B3",2012,-5.477778,123.7625,0.995024875621891,0,0,0,0.497512437810945,4.47761194029851,25.3731343283582,0,0,0,0.995024875621891,0,0,0,11.4427860696517,33.8308457711443,0,18.9054726368159,0,0,0.497512437810945,0,0,2.48756218905473,0.497512437810945,100,0.332830188679245,17.64
"4",4,"2012-B3-Flat-1","B3",2012,-5.477778,123.7625,0,0,0,0,12.9353233830846,0.497512437810945,11.4427860696517,0,0,0,1.49253731343284,0,0,0,38.3084577114428,27.363184079602,3.98009950248756,3.98009950248756,0,0,0,0,0,0,0,100,0.332830188679245,17.64
"5",5,"2012-B3-Flat-2","B3",2012,-5.477778,123.7625,0,0,0,0,0.497512437810945,4.47761194029851,18.9054726368159,0,0,0,0,0,0,0,10.9452736318408,47.7611940298507,12.4378109452736,2.98507462686567,0,1.49253731343284,0.497512437810945,0,0,0,0,100,0.332830188679245,17.64
"6",6,"2012-B3-Flat-3","B3",2012,-5.477778,123.7625,0,0,0,0,0.497512437810945,0,6.96517412935323,0,0,0,4.47761194029851,0,0,0,49.2537313432836,23.3830845771144,9.95024875621891,5.4726368159204,0,0,0,0,0,0,0,100,0.332830188679245,17.64
"7",7,"2012-B3-Slope-1","B3",2012,-5.477778,123.7625,0.995024875621891,0,0,0,4.47761194029851,5.97014925373134,18.407960199005,0,0,0,0,0,0,0,3.48258706467662,50.2487562189055,0,5.4726368159204,0,0,10.9452736318408,0,0,0,0,100,0.332830188679245,17.64
"8",8,"2012-B3-Slope-2","B3",2012,-5.477778,123.7625,0,0,2.98507462686567,7.46268656716418,0,4.47761194029851,25.8706467661692,0,0,0,0,0,0,0,0.995024875621891,28.8557213930348,0,9.45273631840796,0,0.497512437810945,19.4029850746269,0,0,0,0,100,0.332830188679245,17.64
"9",9,"2012-B3-Slope-3","B3",2012,-5.477778,123.7625,0,0,0,0,2.98507462686567,0,16.9154228855721,0,0,0,0,0,0,0,4.97512437810945,38.3084577114428,0,3.48258706467662,0,0,13.9303482587065,0,0,19.4029850746269,0,100,0.332830188679245,17.64
"10",10,"2012-KAL-Crest-1","KAL",2012,-5.472778,123.729722,0,0,0,0,0.995024875621891,0.995024875621891,0.497512437810945,0,0,0,0,0,0,0,25.8706467661692,27.8606965174129,8.45771144278607,32.8358208955224,0,0,2.48756218905473,0,0,0,0,100,0.319622641509434,16.94
