,Response,Location,Mean,Upper,Lower,Predictor
SSTA,Hard Coral,Indonesia,-0.127163369,0.291990445,-0.535564909,SSTA
Year,Hard Coral,Indonesia,0.088303443,0.122458967,0.056298123,Year
SSTA1,Algae,Indonesia,-0.725365627,0.839577504,-2.373445057,SSTA
Year1,Algae,Indonesia,0.049089452,0.168721317,-0.072501332,Year
SSTA2,Soft Coral,Indonesia,-0.152371782,0.355053485,-0.690070633,SSTA
Year2,Soft Coral,Indonesia,-0.012504286,0.025931478,-0.051481649,Year
SSTA3,Rubble,Indonesia,-0.005720422,0.50011008,-0.520487145,SSTA
Year3,Rubble,Indonesia,-0.053257509,-0.014084607,-0.093240051,Year
SSTA4,Rock,Indonesia,-0.464762138,0.489770533,-1.440626034,SSTA
Year4,Rock,Indonesia,-0.010000694,0.060536525,-0.084810716,Year
SSTA5,Sponge,Indonesia,-0.013218021,0.740567879,-0.800045829,SSTA
Year5,Sponge,Indonesia,0.181926622,0.248232121,0.111450719,Year
SSTA6,Sand,Indonesia,-0.256892539,0.570192484,-1.117920472,SSTA
Year6,Sand,Indonesia,0.030000696,0.098476448,-0.036380448,Year
SSTA7,Hard Coral,Honduras,0.316062454,0.7950263,-0.138059276,SSTA
Year7,Hard Coral,Honduras,-0.040930793,0.000383387,-0.082008174,Year
SSTA11,Algae,Honduras,-0.105834374,0.613035357,-0.853951909,SSTA
Year11,Algae,Honduras,0.097581424,0.151510641,0.045308515,Year
SSTA21,Soft Coral,Honduras,-0.500407442,0.258460105,-1.21992214,SSTA
Year21,Soft Coral,Honduras,0.05420445,0.106262303,0.000825397,Year
SSTA31,Rubble,Honduras,-0.632182846,0.91683055,-2.070416879,SSTA
Year31,Rubble,Honduras,0.009236743,0.146866406,-0.130726671,Year
SSTA41,Rock,Honduras,1.103964381,2.194175511,0.025762406,SSTA
Year41,Rock,Honduras,-0.310025876,-0.199615416,-0.422220446,Year
SSTA51,Sponge,Honduras,-0.693221767,-0.078946086,-1.297218378,SSTA
Year51,Sponge,Honduras,0.012791684,0.060444972,-0.033372031,Year
SSTA61,Sand,Honduras,0.261863964,1.324079958,-0.790471215,SSTA
Year61,Sand,Honduras,-0.036834964,0.042648935,-0.112111224,Year
